Mitigation_ID,Action Name,Action Definition,MitigationCode
0,AI Safety Team,"Does your organization have a safety team? If yes, please provide the team name, a URL to the team’s website (if applicable), the team size (defined as FTE technical staff), and briefly describe its mission.",1.1 Board Structure & Oversight
1,Board of directors,Information about board independence; any non-standard safety-related powers; whether it has a mandate to prioritize safety over profits.,1.1 Board Structure & Oversight
2,BOD formal risk committee,"Does the board of directors feature a formal risk committee that is tasked with overseeing the firm’s risk management practices? If yes, please name the members of this committee.",1.1 Board Structure & Oversight
3,BOD regular crisis training,Does the BOD engage in regular crisis response training?,1.1 Board Structure & Oversight
4,Chief Information Security Officer (CISO),Does your firm's leadership team feature a chief information security officer (CISO)?,1.1 Board Structure & Oversight
5,Company structure,Information that indicates whether the structure of the firm would allow it to prioritize safety in critical situations or whether shareholder pressure could drive it to deploy capable but dangerous systems.,1.1 Board Structure & Oversight
6,Internal review of high-stakes deployment decisions,Does your company have one or more internal bodies that review deployment decisions related to highly capable AI models? This might be an ethics board or other body with a responsibility/safety related mandate.,1.1 Board Structure & Oversight
7,Multi-party authorisation for LLM deployment system changes,Does your organization require multi-party authorization for all changes to systems directly involved in the deployment of large models?,1.1 Board Structure & Oversight
8,Partnerships,Any partnerships that can significantly shape company strategy.,1.1 Board Structure & Oversight
9,Powers of the BOD,"Does the board have powers beyond appointing a new CEO (e.g., is it able to veto large deployment decisions?)",1.1 Board Structure & Oversight
10,Chief Risk Officer (CRO),"A Chief Risk Officer is responsible for identifying, assessing, and mitigating strategic and operational risks associated with AI systems, ensuring robust oversight and accountability for safety and compliance within the organization.",1.1 Board Structure & Oversight
11,Board risk committee,"AGI labs should have a board risk committee, i.e. a permanent committee within the board of directors which oversees the lab’s risk management practices.*",1.1 Board Structure & Oversight
12,Dual control,"Critical decisions in model development and deployment should be made by at least two people (e.g. promotion to production, changes to training datasets, or modifications to production).*",1.1 Board Structure & Oversight
14,Systemic Risk Responsibility Allocation,Signatories commit to (1) clearly defining and allocating responsibilities for managing systemic risk from their GPAISRs across all levels of the organisation; (2) allocating appropriate resources to actors who have been assigned responsibilities for managing systemic risk; and (3) promoting a healthy risk culture.,1.1 Board Structure & Oversight
15,Decision-Making Executives,"Best practices from other industries include the establishment of clear risk ownership, with designated senior managers responsible for specific risks…",1.1 Board Structure & Oversight
16,Appoint Chief Risk Officer,"There should be a senior executive responsible for risk management processes (often called a Chief Risk Officer) who is accountable for the risk management processes, but is importantly not a risk owner making risk decisions themselves.",1.1 Board Structure & Oversight
17,Board Level Oversight,Board-level oversight is necessary to provide checks and balances to senior management.,1.1 Board Structure & Oversight
18,Organizational Role Adjustment,"Consider adjustment of organizational roles and components across lifecycle stages of large or complex GAI systems, including: Test and evaluation, validation, and red-teaming of GAI systems; GAI content moderation; GAI system development and engineering; Increased accessibility of GAI tools, interfaces, and systems, Incident response and containment.",1.1 Board Structure & Oversight
19,Lifecycle Oversight Functions,"Establish policies, procedures, and processes for oversight functions (e.g., senior leadership, legal, compliance, including internal evaluation) across the GAI lifecycle, from problem formulation and supply chains to system decommission.",1.1 Board Structure & Oversight
20,Interdisciplinary Team Formation,"Establish and empower interdisciplinary teams that reflect a wide range of capabilities, competencies, demographic groups, domain expertise, educational backgrounds, lived experiences, professions, and skills across the enterprise to inform and conduct risk measurement and management functions.",1.1 Board Structure & Oversight
21,Transparency Training Adaptation,Adapt existing training programs to include modules on digital content transparency,1.1 Board Structure & Oversight
22,Risk Management Certification,"Develop certification programs that test proficiency in managing GAI risks and interpreting content provenance, relevant to specific industry and context.",1.1 Board Structure & Oversight
23,Executive Risk Accountability,Executive leadership of the organization takes responsibility for decisions about risks associated with AI sys- tem development and deployment.,1.1 Board Structure & Oversight
24,Human-AI Oversight Roles,Policies and procedures are in place to define and differentiate roles and responsibilities for human-AI configurations and oversight of AI systems.,1.1 Board Structure & Oversight
25,Define Human Oversight Protocols,"Processes for human oversight are defined, assessed, and documented in accordance with organizational policies from the Govern function",1.1 Board Structure & Oversight
26,Information Integrity; Value Chain and Component Integration,Leverage feedback and recommendations from organizational boards or committees related to the deployment of GAI applications and content provenance when using third-party pre-trained models.,1.1 Board Structure & Oversight
27,Robust and Meaningful Accountability Mechanisms,"Introduce robust and meaningful accountability mechanisms, especially in evaluating capabilities thresholds, with clear processes that ensure the correct mitigations or courses of action are followed if the thresholds are met. This may include board sign-off for the responsible capability scaling policy, and named individual accountability for key decisions.",1.1 Board Structure & Oversight
28,Training Relevant Actors in AI Security,"Train developers, system owners and senior leaders in secure AI practices. It is crucial to establish a positive security culture where leaders demonstrate good security practice and staff from across a project understand enough about AI security to understand the potential consequences of decisions they take.",1.1 Board Structure & Oversight
29,Board-level Responsibility for Protective Security,Ensure board-level responsibility for protective security with regular engagement with key stakeholders from across the business and a firm understanding of the risks the organisation faces. Ensure stakeholder engagement throughout the business for specialist insight and development and implementation of an insider risk mitigation programme.,1.1 Board Structure & Oversight
30,Proportionate Policies,"Put in place proportionate policies, clear reporting procedures and escalation guidelines that are accessible, understood and consistently enforced.",1.1 Board Structure & Oversight
31,Appropriate Security Training,Provide appropriate security education and training for all workers. Without effective education and training individuals cannot be expected to know what procedures are in place to maintain security.,1.1 Board Structure & Oversight
32,Program of Monitoring for Security Issues,"Ensure that a programme of monitoring and review is in place to enable potential security issues, or personal issues that may impact on an employee's work, to be recognised and dealt with effectively throughout their career",1.1 Board Structure & Oversight
